Model,Brand
Marrua,Agrale
Luling,Beijing Automobile Works
T-Rex,Bremach
Star,Chang'an
Colorado,Chevrolet
D-Max,Isuzu
LSSV ,Chevrolet
Silverado,Chevrolet
Montana,Chevrolet
Labo,Damas/Labo
Hijet,Daihatsu
Rich,Dongfeng
Fullback,Fiat
Strada,Fiat
Toro,Fiat
Maverick,Ford
F-150,Ford
F-250,Ford
F-350,Ford
F-450,Ford
SUP,Foton
Tunland,Foton
Canyon,GMC
Sierra,GMC
GA200,Gonow
Deer,Great Wall
V240,Great Wall
Wingle 5,Great Wall
Wingle 6,Great Wall
Ruiyi,Hafei
Acty,Honda
Ridgeline,Honda
Porter,Hyundai
Santa Cruz,Hyundai
Arisun,Iran Khodro
Bardo,Iran Khodro
Gladiator,Jeep
Bongo,Kia
Scorpio,Mahindra
BT-50,Mazda
T60,Maxus
X-Class,Mercedes-Benz
Minicab,Mitsubishi
Triton,Mitsubishi
Pony,Namco
Clipper,Nissan
Frontier,Nissan
NP200,Nissan
Navara,Nissan
Titan,Nissan
R1T,Rivian
Hilux,Toyota
Land Cruiser,Toyota
Tacoma,Toyota
Tundra,Toyota
